,JobID,Link
0,57650956,https://www.stepstone.de/stellenangebote--junior-data-scientist-m-w-d-koeln-kmh-gmbh--9995441-inline.html
1,57605321,https://www.stepstone.de/stellenangebote--junior-data-scientist-m-w-d-hamburg-tui-cruises-gmbh--9847529-inline.html
2,57605323,https://www.stepstone.de/stellenangebote--junior-data-scientist-m-f-x-hamburg-tui-cruises-gmbh--9847582-inline.html
3,57608864,https://www.stepstone.de/stellenangebote--junior-data-scientist-data-analyst-w-m-d-karlsruhe-montabaur-maintal-11--9970637-inline.html
4,57181289,https://www.stepstone.de/stellenangebote--junior-data-scientist-m-w-d-risikomodelle-berlin-sparkassen-rating-und-risikosysteme-gmbh--9719073-inline.html
5,57337093,https://www.stepstone.de/stellenangebote--junior-aktuar-data-scientist-fuer-das-pricing-aktuariat-m-w-d-unterfoehring-bei-muenchen-allianz-versicherungs-ag--9804816-inline.html
73,57589129,https://www.stepstone.de/stellenangebote--junior-data-analyst-m-w-d-essen-deichmann-digital--9706249-inline.html
74,57471390,https://www.stepstone.de/stellenangebote--junior-data-analyst-data-warehouse-m-w-d-muenchen-arag-krankenversicherungs-ag--9876243-inline.html
80,57590908,https://www.stepstone.de/stellenangebote--junior-data-analyst-m-w-d-bochum-babymarkt-de-gmbh--9958745-inline.html
89,57559255,https://www.stepstone.de/stellenangebote--junior-data-analyst-m-w-d-immobilienwirtschaft-hamburg-hamburg-team-investment-management-gmbh--9933533-inline.html
93,57586120,https://www.stepstone.de/stellenangebote--junior-data-analyst-operations-m-w-d-markdorf-j-wagner-gmbh--9953498-inline.html
95,57554128,https://www.stepstone.de/stellenangebote--junior-data-analyst-derivate-m-w-d-frankfurt-am-main-wm-gruppe--9928466-inline.html
96,57586900,https://www.stepstone.de/stellenangebote--data-business-analyst-m-w-d-junior-berlin-esteve-pharmaceuticals-gmbh--9954171-inline.html
97,57318321,https://www.stepstone.de/stellenangebote--junior-architekt-data-analytics-wmd-muenchen-adac--9798017-inline.html
